Disease,Description
Fungal infection,"Fungal infection is a common skin condition caused by fungi growing on or inside the body. It is often due to moisture, weakened immunity, or exposure to fungal organisms in the environment."
Allergy,"A reaction caused when the immune system becomes sensitive to substances such as pollen, food, or dust. Triggered by genetic factors and environmental exposure."
GERD,"GERD (Gastroesophageal Reflux Disease) a digestive condition caused by the backflow of stomach acid into the food pipe. Often linked to weak lower esophageal muscles, dietary factors, or lifestyle habits."
Chronic cholestasis,"A long lasting condition caused by reduced or blocked bile flow from the liver. Often linked to liver disease, genetic conditions, or bile duct obstruction."
Drug Reaction,"A response caused by sensitivity to a medication. Can result from immune system reactions, overdose, interaction with other drugs, or genetic factors."
Peptic ulcer disease,A condition where sores develop in the stomach or intestine lining. Often caused by Helicobacter pylori infection or long term use of certain pain medications.
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a late stage condition caused by the human immunodeficiency virus HIV. Leads to severe weakening of the immune system due to destruction of immune cells.
Diabetes,"A metabolic condition caused by problems with insulin production or insulin response. Common causes include genetics, autoimmune processes, and lifestyle factors."
Gastroenteritis,"A digestive condition caused by irritation or infection of the stomach and intestines. Often due to viruses, bacteria, or contaminated food or water."
Bronchial Asthma,"A chronic condition caused by inflammation and sensitivity of the airways. Triggered by genetic factors, allergens, or environmental irritants."
Hypertension,"Hypertension, or high blood pressure, is a long term condition caused by persistent elevation of blood pressure. Linked to genetics, stress, lifestyle habits, or underlying medical conditions."
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
Cervical spondylosis,A degenerative condition caused by wear and tear of spinal disks and joints in the neck. Often related to aging or long term strain.
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
Jaundice,A condition where the skin and eyes turn yellow because the body cannot clear a waste product called bilirubin. It is usually caused by liver problems or blockage in the bile system.
Malaria,An illness caused by parasites that enter the body through mosquito bites. It happens when infected mosquitoes pass the parasite into a persons bloodstream.
Chicken pox,"Chicken pox is a highly contagious viral infection caused by a virus. It spreads easily from one person to another through coughs, sneezes, or direct contact."
Dengue,A viral infection passed to people through the bite of Aedes mosquitoes. It is caused by the dengue virus found in mosquito saliva.
Typhoid,Typhoid is a bacterial infectioAn infection caused by bacteria found in contaminated food or water. It happens when people ingest the bacteria through eating or drinking.n that can lead to a high fever and gastrointestinal symptoms.
hepatitis A,A liver infection caused by a virus spread through contaminated food or water. It often starts after someone consumes food handled in poor sanitary conditions.
Hepatitis B,"A liver infection caused by a virus spread through blood or other body fluids. It can be passed from mother to child, shared needles, or unsafe medical practices."
Hepatitis C,A liver infection caused by a virus usually spread through contaminated blood. It often happens through shared needles or unsafe medical procedures.
Hepatitis D,A liver infection caused by a virus that can only infect people who already have hepatitis B. It depends on hepatitis B to multiply.
Hepatitis E,"A liver infection caused by a virus spread mainly through contaminated water, especially in areas with poor sanitation."
Alcoholic hepatitis,A liver condition caused by drinking too much alcohol over a long period. The alcohol irritates and damages liver cells.
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs. Caused by bacteria that spread through tiny droplets in the air when someone with the disease coughs or sneezes.
Common Cold,A mild infection caused by common cold viruses that spread easily through the air or by touching contaminated surfaces.
Pneumonia,"A lung condition caused by germs such as bacteria, viruses, or fungi entering the lungs. These germs irritate and inflame the lung tissues."
Dimorphic hemmorhoids(piles),"A condition where veins around the anus become swollen due to pressure or strain. It is often caused by constant heavy lifting, pushing, or long sitting."
Heart attack,A serious event caused when a blood vessel that supplies the heart becomes blocked. This prevents oxygen rich blood from reaching part of the heart.
Varicose veins,Twisted or enlarged veins usually in the legs. Caused when vein valves stop working properly and allow blood to collect in the veins.
Hypothyroidism,A condition where the thyroid gland does not make enough hormones. It is often caused by the immune system attacking the thyroid or damage to the gland.
Hyperthyroidism,A condition where the thyroid gland makes too many hormones. Often caused by an overactive immune system or growths on the thyroid.
Hypoglycemia,"A condition where blood sugar becomes too low. It can be caused by taking too much insulin, skipping meals, or intense physical activity without enough food."
Osteoarthristis,A joint condition caused by the gradual wearing down of the cushion between bones. It mostly happens due to aging or long term joint use.
Arthritis,"A condition where joints become irritated or inflamed. It can be caused by wear and tear, immune system activity, or infections."
(vertigo) Paroymsal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caued when tiny crystals in the inner ear move out of place. This interferes with the ears natural sense of balance.
Acne,"A skin condition caused when pores get clogged with oil and dead skin. Hormones, oily skin, and bacteria often contribute to it."
Urinary tract infection,An infection caused when bacteria enter the urinary system. It commonly happens when bacteria from outside get into the bladder or urethra.
Psoriasis,A skin condition caused by the immune system making new skin cells too fast. This leads to buildup of skin in certain areas.
Impetigo,A skin infection caused by bacteria that spread easily through touch. It usually enters the skin through small cuts or insect bites.
